original_comments
လန်းလေးကို မတွေ့ရတာကြာပြီနော်
လွမ်းနေတာမလန်းရေ vlog သစ်လေးတွေလဲမျှော်နေတယ် ကျန်းမာရေးလဲဂရုစိုက်ပါအုံးနော်မမလန်းရေ
မလန်းပြောလို့ suncreenလေးသေချာပြန်သုံးရမယ်
"ချစ်တယ် မမရေ့
သတိရနေတာ"
မလန်း ပျောက်နေတာ အရမ်းကြာပီနော် page ထဲ ဝင်ဝင်ကြည့်နေတာ
လှလိုက်တာ
SPF ပါတဲ့ lotion လေးတွေ လိမ်းချင်နေတာနဲ့ အတော်ပဲ မမရေ
လန်းနေမကောင်းဖြစ်နေတာလား ပျောက်နေတယ်
မမလန်းရေ Vaseline sunscreen အထုတ်လေးတွေက ဘယ်ကဝယ်တာလဲရှင်။
အထုတ်လေးတွေကဘယ်ကဝယ်လဲရှင့်
အရင်လို blog လေးတွေမတင်တော့ဘူးလား
လန်းရေ ပျောက်နေတယ်နော်
ဟုတ်ပါ့ လွမ်းနေတာ
မျက်နှာလေးချောင်သွားတယ် ဂရုစိုက်နော်
မမရေ မတွေ့ရတာတောင် ကြာပြီ
အထုပ်လေးတေ စမ်းသုံးကျိချင်တယ် ဘယ်မှာဝယ်လို့ရလဲ လန်းရှင့်
ချစ်သော
"မမလန်းရေ ပျောက်နေတယ်နော်
vlog အသစ်လေးတွေတင်ပေးပါအုန်းရှင့်"
သတိရနေတာ ပုံမတင်တာကြာနေလို့
လန်းပျောက်နေတယ်
Sun Spray ဘယ်ကဝယ်လဲ လန်းရေ
ပျောက်‌ေနတာ နော် လန်း ရေ မျှော်နေတာပါ
ပုံမတင်တာကြာတော့ နေမကောင်းနေမလားလိုစိတ်ပူနေတာ မမလန်းရေ
လှနေရောပဲ
လွမ်းနေတာမမကို
မတွေတာကြာပီနော် မမလန်းရေ
ချစ်တယ်လန်းရေ
ကြာကြီးပဲပျောက်နေတာ pageလေးထဲတောင်ဝင်ကြည့်မိ
မမေ့ပါဘူးရှင် လက်ဆောင်လေးတွေလဲရောက်ပါတယ်ရှင်
ချစ်ဖို့ကောင်းနေရောပဲ
Ltns လန်းရေ လွမ်းနေတာ
သတိတွေရ
ခ်စ္တယ္မမလန္းေလး
Make up ပြင်တာလေးတွေမျော်နေမယ်
ချစ်စရာလေး ပျောက်နေတာ
ဒါလေးက ဘယ် made ဆို ပိုကောင်းလဲ မလန်း နဲ့ skin type ချင်တူလို့ ဒါလေး try ကြည့်ချင်လို့ ညွှန်ပေးပါအူး
sun cream ကုန်နေလို့အသစ်သုံးချင်နေတာ အဆီပြန်တဲ့အသားအရေနဲ့တစ်ခုခုမှားရင်ဝက်ခြံတန်းပီးထွက်တက်လို့ဘယ်လိုဟာဝယ်ရမလဲ lann ရေညွှန်းပေးပါအုံး
မလန်းရေ ကျန်းမာရေးဂရုစိုက်ပါနော် အကြာကြီးပျောက်နေလို့စိတ်ပူနေတာ
အရင်လိုvlogလေးသတိရမိလန်းးးရယ် oppaတို့အရင်ကခပ်စိပ်စိပ်တင်ဖူးးတဲ့vlogလေးးပဲကျိနေရတာmiss u lann
Mizumiလေးသုံးကြည့် ပိုကောင်းတယ် စေးလဲမစေး အနံ့လဲမပါဘူး
မလန်း review ပေးတာလေးတွေ သုံးကြည့်လို့ အရမ်းအဆင်ပြေနေပါတယ်ရှင့် ကျန်းမာရေးလည်း ဂရုစိုက်ပါနော် မမလန်းရေ
Summer Makeup tutorial လေးတွေ မျှော်နေတာ မလန်းရေ
အချစ်ကလေး
အထုတ်လေးတွေက ဘယ်မှာဝယ်လို့ရလဲလန်ရေ
ပိုလှသွားပီ
ချစ်စရာ မမလန်း
ဒီပုံလေး ပိုချစ်တယ်
တို့မမလန်းရေ မတွေ့တာကြာလို့ ပိုနုပြီးပိုလှလာတယ်ရှင့်
မမ လန်းလေးရေ ကြိုက်လဲကြိုက်တယ် သုံးလဲမသုံးနိုင်သေးဘူး စျေးကြီးလို့
‌လန်းရေချစ်တယ်
Mascaraဝယ်မလို့ စဥ်းစားနေတာနဲ့အတော်ပဲ မမလန်းညွှန်းတာလေး သုံးကြည့်ရမယ် အမြဲတမ်းပစ္စည်းကောင်းလေးတွေပဲညွှန်းပေးလို့လည်း ကျေးဇူးပါမမလန်းရေ
လှလိုက်တာ မလန်းရေ
ဟုတ်ပါ့ ခု40000ကျော်နေပြီ
ရမ်းလှ
အရမ်းမိုက်ရင် ဝယ်ပြိလေ
